Serial Number,Published At,Comment
401,2023-01-29T14:22:19Z,"No anyone can describe india in pictures. because weather, living style, terrain, food, clothes, language and many more changes according State or area.I don&#39;t visit any foreign countries but I sure, no other country has kind of Beauty as Bharat (India) have."
402,2023-01-29T14:13:51Z,Yeah it is a very big miconception
403,2023-01-29T13:56:58Z,"As a resident of India for the past 30 years, I can say though that the pollution is so much worse than it was 30 years ago when I arrived. This is all year around. We really need to pull together India, we are killing people with smoke. Those leaves that we burn can be composted. Just that one little change can make a vast difference."
404,2023-01-29T13:50:57Z,Karl what&#39;s your country? I wanna roast abt it
405,2023-01-29T12:52:58Z,"Just visit north east and south indian parts ,"
406,2023-01-29T12:52:43Z,"Just visit north east and south indian parts ,"
407,2023-01-29T12:28:47Z,"m from chhattisgarh.. n when it comes to chhattisgarh the media only shows naxalite attacks which have happened in the past. n people believe chhattisgarh is a  naxalite area. many even don&#39;t know the capital of the state n most of the people on hearing chhattisgarh believe its in jharkhand... chhattisgarh has lot of greenery, it separated from madhya pradesh unlike jharkhand which formed out of bihar and raipur is the capital city......"
408,2023-01-29T12:18:50Z,India is really beautiful but the media doesn&#39;t show. It&#39;s the same with Afghanistan.
409,2023-01-29T12:07:19Z,Dont go to India especially the Hindus! They  are terrorists  and killing Muslims. And they will always scamm you
410,2023-01-29T12:04:11Z,Don&#39;t worry about India. Think about yourself where Corona is thriving .Ask why    ?
411,2023-01-29T11:48:50Z,He acts like he knows everything about India when he’s not even Indian but has made a whole career out of exploiting Indians for videos
412,2023-01-29T11:42:17Z,Thanks Karl for appreciating India that is what our some of the indians need to learn from you
413,2023-01-29T11:28:08Z,Respect to you for this
414,2023-01-29T11:27:23Z,"Look if it weren’t for the advancement in media technology neither the Big Media nor some YouTube like yourself could have ever filmed the footage that’s been made available to the rest of us, so what really matters here is  what perception do you want to sell? America, since inception, projects boldness because it is innately insecure. To keep Americans content with their surroundings and prevent brain drain, they have historically gone to lengths to curtail outside media entering their nation, suppressing freedom of expression that is not in line with their government’s medieval mindset and above all, portray a sense of hopelessness in the world that there’s no other place outside the US you’d wanna go! This seeps into their education system where they never talk about the fuck ups they’ve done within the country and outside, they never seem to want to talk about American territories and how they came about to be under the American banner in the first place and they never seem to talk about who their Allies are and why did they join hands with a particular nation? Reasons are important in life but when you’re systematically brainwashing people to NEVER ask questions or not knowing what questions to ask, then you’ve an America on your hands."
415,2023-01-29T11:24:57Z,"I appreciate this person, we need you"
416,2023-01-29T11:21:00Z,And if you go to kerela a state of india that is in south you will experience you are not in india that&#39;s a Paradise
417,2023-01-29T09:31:18Z,Come to Northeast you will never find a Hazardous fog
418,2023-01-29T08:10:53Z,If farmers in Punjab and Haryana are not burning agriculture waste and  if people are not using crackers in festival season northern India would not have such air pollution.
419,2023-01-29T08:06:30Z,stop  burning  farm  waste
420,2023-01-29T07:54:20Z,Ur contry most bed
421,2023-01-29T07:36:39Z,That means you are telling people&#39;s that we should burn more fuels and all the garbage which should raise more recognisable pollution because the damage is yet not done to die easily . Ok  people will burn more because pollution is less they are ignorant most of them thanks for giving them more shitty suggestions.
422,2023-01-29T06:36:44Z,It&#39;s not just north India Karl. I live near Mumbai and also experience this. Majority of this is due to construction and ground/roadside dust. So I assume it would be similar is most medium sized or large cities. During winter the winds don&#39;t blow them away and clear the air as they tend to in summer/rainy season.
423,2023-01-29T06:08:41Z,Good job brother
424,2023-01-29T05:51:32Z,Show the view of Himachal
425,2023-01-29T05:27:46Z,Habibi ..come to North East
426,2023-01-29T03:52:50Z,Winter months have the worst pollution levels. As a Delhi University student I had to wear mask all day. Delhi is a nice place. I miss it.
427,2023-01-29T03:11:55Z,Wow. It looks beautiful. Media always showing the worst.
428,2023-01-29T02:54:39Z,"“Actually looks like this”  that still looks pretty not good my guy. My city “looks” better than all of those, but our pollution levels are still pretty not good. I can only imagine that those better parts of India experience the same or worse considering the later examples are used as good examples"
429,2023-01-29T02:46:38Z,That mean it&#39;s fuckin true then
430,2023-01-29T01:33:01Z,Is it still relatively safe to be in those areas or do the people have to wear masks and such?
431,2023-01-29T01:11:56Z,lol I’m not even a big climate change guy but it’s still wildly polluted
432,2023-01-29T00:00:33Z,"So we&#39;re just glancing over the fact that the pollution fog is actually real, and you&#39;re not explaining those &quot;Circumstances&quot; that black out the sky and cause cancer for 3-5 months of the year?"
433,2023-01-28T23:20:15Z,The render distance is turned up most of the time
434,2023-01-28T22:02:12Z,"Karl, is your Visa Ban lifted now?"
435,2023-01-28T21:42:13Z,Ok but a few months like that is still really too much. When I visited it was sort of ok though
436,2023-01-28T21:30:52Z,It&#39;s still smoggy.
437,2023-01-28T21:04:54Z,"Being Indian, I saw more india thru a NL guy named Karl. Love u brother, keep our beti happy"
438,2023-01-28T20:42:18Z,"God it looks like a shit hole, the brits should never have left"
439,2023-01-28T20:38:47Z,I just don’t understand why western film maker put yellowish filter over any Indian scenes in their films. For example Extraction.India is way more beautiful than many of the European countries and I know  ‘cause I have travelled all across the europe.
440,2023-01-28T20:14:13Z,"If India is such a great country, then why are people leaving it?"
441,2023-01-28T19:57:03Z,Thanks for adding Chhattisgarh
442,2023-01-28T19:50:07Z,"Where do most of the people live? In the mega cities, where is the pollution? In the mega cities, and guess what, they live in the mega cities in those few months when the air pollution is hazardous."
443,2023-01-28T19:37:13Z,"Hollywood movies will show India as brown and muddy with busy markets and dark, sweaty people."
444,2023-01-28T19:08:39Z,Exactly
445,2023-01-28T18:46:47Z,Now I can sleep easy knowing that I will get lung cancer only a certain part of the year
446,2023-01-28T18:33:25Z,"And you still got banned, huh ?"
447,2023-01-28T18:26:47Z,"Honestly I wasn’t really aware of air pollution in India,and I ve been there.But seriously there is trash all over the place ,very sad considering India precious history.The trash is not a misconception."
448,2023-01-28T18:22:23Z,good marketing but india is dirty and polluted AF
449,2023-01-28T18:21:55Z,I would never travel to India foh
450,2023-01-28T18:21:34Z,Thanks brother for covering the good part of India
451,2023-01-28T17:57:37Z,In North India Uttrakhand has got almost none Pollution. Just like Himachal and J&amp;K.
452,2023-01-28T17:54:31Z,Great work BroKeep it up
453,2023-01-28T17:53:36Z,YESSS!!!!  YESSSS!!!!! The people don&#39;t understand!!
454,2023-01-28T17:47:55Z,India is polluted and its true
455,2023-01-28T17:15:15Z,What news tho? Lol
456,2023-01-28T17:00:56Z,Propaganda. Most areas are like this. Great video
457,2023-01-28T16:13:20Z,Still looks like Bakersfield in most of those shots
458,2023-01-28T15:32:05Z,"Hey Karl Visit Assam, India , all misconceptions will get vanished Love from Assam, India"
459,2023-01-28T15:09:44Z,Love from a son of india No no i am not Pakistan I am a boy from india so that&#39;s I want to say
460,2023-01-28T15:05:09Z,Bro Once Take A look To Us (NorthEast) India
461,2023-01-28T14:52:34Z,This are fog
462,2023-01-28T14:46:02Z,India is actually a beautiful place
463,2023-01-28T14:45:14Z,May be after some years South india also become like NorthBcoz many North people are coming here
464,2023-01-28T14:43:10Z,Man thanks for pointing out . But you know I too have a very rough statement for those people who say my country is dirty. &quot;At least my cities don&#39;t smell like humid  gutters&quot;  or At least I don&#39;t have to drink what I smell.Orr &quot; says someone whose entire family has more lead in body than trash cans in my street.&quot;
465,2023-01-28T14:39:41Z,"i when to india about 7 years ago,and when i when for a morning coffee i was totally shocked at the amount of people squatting and defecating in the streets at 7am with children an cars passing like it was a common thing to do"
466,2023-01-28T13:49:23Z,The IRL Mexico Movie Filter
467,2023-01-28T13:43:40Z,Its almost as if theyre trying to convince us the world is going to end in a few years cuz of pollution.
468,2023-01-28T11:06:24Z,Chhattisgarh
469,2023-01-28T10:34:23Z,"who is paying you to make this seem ok, oh yea its you tube."
470,2023-01-28T10:02:43Z,Statistics don&#39;t lie
471,2023-01-28T09:33:17Z,Proud to be in chhattisgarh
472,2023-01-28T09:19:14Z,Thats still really hazy
473,2023-01-28T09:15:13Z,so its like smoking all at once
474,2023-01-28T08:47:41Z,:D who wants to go to delhi anyway - arent their much more historic cities
475,2023-01-28T08:42:47Z,India ka naas ho meri baduaa hai specially ५ percent people of the world..
476,2023-01-28T08:22:00Z,Thanks for giving this news to the worldlove from INDIA
477,2023-01-28T08:05:00Z,The 7 seasons of India: MonsoonWinterSummerFallSpringWetAnd Pollution
478,2023-01-28T08:01:18Z,Thank you for this.. i always appreciate ur efforts in showing real India to world... I don&#39;t understnd one thing every country have their own flaws but why pointing bad about others to create a propagate a agenda..... People like u made me believe the&quot; power of truth &quot; not screams but echoes ..
479,2023-01-28T07:34:13Z,That little time of year is more dangerous than any other time of the year.
480,2023-01-28T07:16:57Z,"The lowest average during the year for Delhi is still 150 which is WAY TOO HIGH. It might not be an India-wide problem, but the public should still be outraged about it."
481,2023-01-28T07:08:05Z,not the news its just Hollywoods fakeness
482,2023-01-28T06:42:08Z,"“Stop looking at the hazardous effects of climate change &amp; global warming, the media is full of negativity”  just look at these beautiful pictures and chant “all is well” Fools are actually responsible for all the sufferings of mankind"
483,2023-01-28T06:37:51Z,T’es médias Dow anything for News. Countries outside of the western friends are always shown as extremely weird or poor or evil
484,2023-01-28T06:28:14Z,"India still has outbreaks of plague and widespread leprosy, doesn&#39;t it?"
485,2023-01-28T06:03:15Z,Propaganda to look India better. Stop
486,2023-01-28T05:57:00Z,Even in pune also... Sometimes city seems to be polluted... But when we go to my native which is 70 kms towards baramati from pune or towards lonavla... Sky becomes more blue
487,2023-01-28T05:36:32Z,"Don&#39;t you realise that however, limited temporally, the pictures you show are completely unacceptable at any time in any circumstances?  Why oh why is man intent on destroying God&#39;s bounty and fellow humans?  Just because they believe the widow&#39;s they have created, will be impressed by their supercars and yachts?"
488,2023-01-28T04:49:51Z,I live in Raipur which is capital of chattisgarh and i agree that look
489,2023-01-28T04:22:58Z,All around the world take any metro city especially capital which one is pollution free.conctrete jungle high CO2 is everywhere.
490,2023-01-28T04:22:47Z,"Mate, do you know what the purpose of the news is?The news doesn&#39;t just say oh look at this, everything is fine because they shouldn&#39;t"
491,2023-01-28T03:22:29Z,India ain’t all that mate
492,2023-01-28T02:09:13Z,Still hellish
493,2023-01-28T02:06:58Z,ONLY WINTER BUT REST OF THE YEAR IS BEAUTIFUL
494,2023-01-28T01:50:35Z,I was unlucky to visit Delhi in its worst weather. People were vomiting due to air pollution in the Streets. But local people told me it gets better over time.
495,2023-01-28T01:34:23Z,"Thank you for talking good about my country I once got a reply saying what category for India? The most polluted, and I was very upset because they were mistaken with India when it was Bangladesh and I love my country so I was very upset about that and when I saw your video on this this made me smile because I finally found someone who talked good about my country! Thank you so much"
496,2023-01-28T01:29:31Z,and %100 of Indians now work in scam call centers.
497,2023-01-28T01:24:42Z,It doesn&#39;t always look like this! It just only looks like this in certain places and sometimes in these others
498,2023-01-28T01:23:37Z,Wait i thought mexico and indian looked orange
499,2023-01-28T00:48:35Z,"And the news also doesn&#39;t show the shit condition the bodies in the shit water the people drinking that shit the amount of covid since they handle everything with their hands, that the fucking goonies my dude, every goonie looks beautiful in its own way, if for some months your city looks like fucking silent hill it&#39;s cuz that place shit, there must be like 5 countries at max that do that shit"
500,2023-01-27T23:53:25Z,Not saying its all bad but the clip where it &quot;usually looks like this&quot; still looks smoggy asf.
501,2023-01-27T22:56:31Z,Same with Pakistan
502,2023-01-27T22:39:22Z,"I mean, have you seen Western USA this past few summers? The sky is just as dark, you can stare at the outline of the sun through the smoke."
503,2023-01-27T21:57:42Z,It still looks pretty hazy.
504,2023-01-27T21:56:11Z,I mean its still hazy in all the pictures…
505,2023-01-27T21:45:30Z,So for 1/3 of the year it’s as polluted as China. Awesome.
506,2023-01-27T20:59:06Z,Still a lot of smog outside the city so what’s your point?
507,2023-01-27T20:51:18Z,Stop trying to make excuses for polution
508,2023-01-27T20:29:09Z,Most tourists that go to India they&#39;re probably going to one of the major cities like Mumbai or Delhi or that city the Taj Mahal is in. Even if it&#39;s not like that year round it&#39;s still very polluted in general.
509,2023-01-27T20:07:40Z,Good now that you have started showing some good things about india.. Otherwise you were all about scams
510,2023-01-27T19:29:08Z,it makes me so happy to see foreigners talking the positive sides about us
511,2023-01-27T19:12:00Z,It is still really bad lol even when you are showing footage of the best it has ever been from Covid
512,2023-01-27T19:03:37Z,we need more people
513,2023-01-27T18:22:01Z,That hazardous air pollution those few months is enough to cause deadly breathing problems.
514,2023-01-27T18:17:29Z,India is just heaven now....... We have just got kashmir as our integral part..... Now it&#39;s just pure magic to ........
515,2023-01-27T18:16:44Z,"The same is true about all countries, some things pull more attention than others, if we look at news everyday, USA seems more like a poor country with mindless woke people everywhere and with shoplifting, drug addicts on streets, shootings in schools and totally broken society with no morals !!"
516,2023-01-27T18:06:48Z,Come to North East India
517,2023-01-27T18:01:22Z,This is delusional. Every picture was filled with heavy pollution. Wtf? The guy is out of it
518,2023-01-27T17:50:11Z,this man will do say anything to gain views
519,2023-01-27T17:46:08Z,no its just that the most news is in these polluted parts
520,2023-01-27T17:29:56Z,Nice video... I trust that Indian authorities are taking measures to reduce air pollution
521,2023-01-27T17:07:40Z,"Why would the news show you the exception to the rule? Stop burning the part of your crops you consider waste to get money faster and maybe people can breathe fresh air. Also, the before and after photos still look horrible. Just because you show me one atomic bomb in the sky instead of two, doesn’t make it any better!"
522,2023-01-27T16:47:27Z,Bro chhattisgarh is beautiful af
523,2023-01-27T16:44:54Z,Love From Chhattisgarh (India)
524,2023-01-27T16:43:19Z,Why do you guys forget to show NE
525,2023-01-27T16:30:26Z,Never thought of going to India.
526,2023-01-27T16:23:03Z,Not all year…just a significant part of the year
527,2023-01-27T16:02:53Z,Actually as an indian i see those things rarely i mean the things you mean &quot;actual india&quot;
528,2023-01-27T15:46:59Z,Thank you man this helps ppl know about the world more better
529,2023-01-27T15:37:59Z,India should be a Utopia and endless heaven. Capitalism FffffFffffFffFFFFUCKED india. Fucked. Strong forward thinking people and good land.
530,2023-01-27T15:34:04Z,"As an Indian citizen, you gained my respect for purifying Indian image in the world."
531,2023-01-27T15:31:13Z,Oh yeah I love living in an area that just has Fallout 4 conditions for several months lmao
532,2023-01-27T15:30:45Z,Still all looks grey in all photos hahaha
533,2023-01-27T15:20:37Z,Delhi always in my heart
534,2023-01-27T14:58:22Z,india only care about religion not pollution
535,2023-01-27T13:48:20Z,"True. When the news is talking about pollution, it only shows pollution."
536,2023-01-27T13:43:00Z,You&#39;re never gonna convince me India is not the nastiest country in the world
537,2023-01-27T13:32:27Z,This is the reason I laught at Statistics
538,2023-01-27T13:28:21Z,"U know what people don’t realize, this isn’t really fixing any misconceptions because most of the people watching this are Indians"
539,2023-01-27T13:26:24Z,Still it&#39;s looks ugly though. Japan korea china vietnam Indonesia are by far beautiful asian countries
540,2023-01-27T12:59:26Z,That&#39;s because they moved to Australia to pollute it here instead of their own country
541,2023-01-27T12:42:24Z,Thank you for telling truth
542,2023-01-27T12:26:07Z,It seems like you haven&#39;t explored India yet properly.
543,2023-01-27T12:05:07Z,That farm was beautiful
544,2023-01-27T11:33:40Z,My city dewas is the greenest
545,2023-01-27T11:31:29Z,Thst graph went from unhealthy to hazardous for 3 months
546,2023-01-27T11:27:13Z,The news does show Northeast women being racially molested and raped but they are insted accused of prostition.. like wtf india we know thats your type but comon
547,2023-01-27T11:26:24Z,The news shows you it because it&#39;s a problem that needs to be addressed
548,2023-01-27T11:10:00Z,"Ya all those look hazy at a distance, no thanks."
549,2023-01-27T10:41:29Z,well derp. but thats the point. in the major cities. you sound like a bad jingle promo for oil death barons.
550,2023-01-27T10:29:12Z,Media fake news after seeing this : baby I didn&#39;t even exist I am a hallucination
551,2023-01-27T10:02:42Z,It still looks pretty bad even when it&#39;s &quot;clear&quot;
552,2023-01-27T09:57:40Z,Thank you for showing the truth to whole world
553,2023-01-27T09:52:52Z,Feeling proud that you just showed my state CG...
554,2023-01-27T09:18:42Z,They will show this during Diwali
555,2023-01-27T09:01:01Z,its the fire works to BLAME NOT THE FARMERS SMOKE THEY HAVE BEEN BURNING CROP FOR 100 YEARS BUT DISNT HAPPEN NOW ITS ALL THE FIRE WORKS
556,2023-01-27T08:44:49Z,Good morning sirs please do the needful and do not redeem
557,2023-01-27T08:42:08Z,Why is there a vague fog in the distance in all the &quot;year round&quot; pictures? I&#39;m wondering what your standards for air pollutions are
558,2023-01-27T08:19:15Z,all hazy (comparatively) till the last slide
559,2023-01-27T08:09:32Z,the point is that it should look like that 0 months of the year.
560,2023-01-27T07:24:58Z,There is even south of India... Not only north
561,2023-01-27T06:42:21Z,Because their govt full in corruption
562,2023-01-27T06:27:32Z,didnt know that .. nice to know
563,2023-01-27T06:26:23Z,Welcome to chhattisgarh
564,2023-01-27T05:31:56Z,Thanks bro for your real image of India
565,2023-01-27T05:10:29Z,thank u karl  rock bro ur a true indian
566,2023-01-27T04:50:51Z,that still looks polluted
567,2023-01-27T04:39:41Z,Stop lying fake news it’s really polluted
568,2023-01-27T04:28:42Z,"That&#39;s what they used to say in Los Angeles and London-- &quot;It&#39;s not always this bad!&quot;.  The chart you showed, on it&#39;s best day, is more than 3x the air pollution in most of the US.  We made so many mistakes when we industrialized-- and no one learned from our failures."
569,2023-01-27T03:59:21Z,1 MINUTE TOO MANY!! INDIANS HAVE THE SAME KINDA LUNGS
570,2023-01-27T03:54:30Z,Punjab and Kashmir are clean and green... I miss my stay there... Love it....
571,2023-01-27T03:43:42Z,Let&#39;s see the filthy water in the cities.
572,2023-01-27T03:37:55Z,Kindly visit South India Tamilnadu and kerala
573,2023-01-27T03:18:30Z,"There is a misconception in d world , in whichever part of india a negative thing happens , they say d whole india is lk ds"
574,2023-01-27T03:00:24Z,Ok. But how will the people know that they are in India and not Nepal. We need the grime. Or else you could be fucking anywhere. It’s like the yellow tint for Mexico!!!-this comment was brought to you my the CEO of MGM
575,2023-01-27T01:30:20Z,"the funny part is that even the parts that he says are clean in the country, are still way more polluted than what I&#39;m used to. A.d Delhi in the &quot;not bad&quot; season is still &quot;unhealthy&quot;."
576,2023-01-27T01:02:39Z,Does anyone know the music in the background?
577,2023-01-27T00:21:37Z,I did some work in Mumbai years ago and it was beautiful.
578,2023-01-26T23:51:48Z,There is another misconception that only north part off India exists and the media never talks about the south which it my opinion it more beautiful and vast
579,2023-01-26T23:39:26Z,The day after divali and pollution go hand in hand ngl
580,2023-01-26T23:17:28Z,such a gross city
581,2023-01-26T22:36:32Z,"&quot;yeah, India has a manmade smog covering it, but not always!&quot;"
582,2023-01-26T22:29:29Z,I seen a video where an Indian guy actively shatting in the street when suddenly he slips in his own faeces. In the process of the falling his head fell under a truck’s back tire. Then you can imagine. Like popping a pimple.
583,2023-01-26T22:23:30Z,"News dont show india at all, what is there to show"
584,2023-01-26T21:55:57Z,what a sweet voice
585,2023-01-26T21:50:57Z,The fact that the air hets hazardous yearly is very bad
586,2023-01-26T21:29:57Z,Only a few months huh! So during those months in North India what is really going on during that time. Most travelers don&#39;t go to those outside the mega city areas do they? Great explanation of how toxic it can be to breathe in India
587,2023-01-26T21:26:16Z,Only in the few poor places in India.
588,2023-01-26T20:52:10Z,I hope to visit some day
589,2023-01-26T20:28:37Z,this doesnt make it ok tho...
590,2023-01-26T20:07:14Z,The media doesn&#39;t show  the crushing poverty by the majority of the people.  They like to show you how rich and prosperous it is.  total lie.  it&#39;s also doesn&#39;t tell you the caste system is alive and well.  also it is not really a democracy.  only a few rich families control the country.  phoney
591,2023-01-26T19:41:26Z,"Still, India is the dirtiest most disgusting place I&#39;ve seen. The only country with worst air is China"
592,2023-01-26T19:29:14Z,Hi Indians. What is the best time to visit your beautiful country?
593,2023-01-26T19:22:57Z,But America is the problem???
594,2023-01-26T19:14:17Z,This is why India is near the top of my travel bucket list
595,2023-01-26T19:08:16Z,Do one about the poo beaches
596,2023-01-26T19:02:16Z,But in reality it looks dirty and unhygienic
597,2023-01-26T18:28:08Z,"Because even just a part of India look like that, it&#39;s still a part of India. If only there&#39;s non part of India look like that. The media maybe the blame for made people thinking it&#39;s all of India but India need to blame themselves for the existence of this size of pollution that in India."
598,2023-01-26T18:22:50Z,People believe what they want to believe.
599,2023-01-26T18:09:57Z,Even the &quot;clear&quot; days are smoggy. No thanks.
600,2023-01-26T18:06:14Z,But people gripe that America is the issue with pollution
601,2023-01-26T18:00:04Z,Air pollution in India is much much worse than those of China but we hardly hear a peep from anyone about it cause nobody cares about India
602,2023-01-26T17:59:22Z,Why to only show good side of a single country?
603,2023-01-26T17:47:13Z,Nobody cares about India
604,2023-01-26T17:41:52Z,Karl posts video showcasing the reality. mainstream media: arey ye to apni dhoti khol raha hein
605,2023-01-26T17:34:41Z,And the orange filter
606,2023-01-26T17:33:11Z,"Nobody thinks the whole of India looks like that, and it doesn&#39;t make it any less bad."
607,2023-01-26T17:11:08Z,Thank you brother for showing the real side
608,2023-01-26T17:05:13Z,There&#39;s also snow in some parts of india
609,2023-01-26T17:04:57Z,"In reality a lot of India looks and smells smoky year around, even in the countryside from frequently burning."
610,2023-01-26T17:03:44Z,"Same with America, and lots of other countries, news just shows obesity, school shootings, and all the bad things that happen, they just ignore the rest."
611,2023-01-26T17:03:19Z,Doesn’t matter India is still scammer central and nothing nice comes from India
612,2023-01-26T17:00:01Z,Pollution&#39;s the least of my concerns if I&#39;m traveling to India haha
613,2023-01-26T16:40:15Z,Please do visit Nagaland .
614,2023-01-26T16:36:58Z,"Tbh, the air looks like crap on those &quot;better day&quot; videos as well..."
615,2023-01-26T16:13:56Z,The chart you showed indicated that the air was continuously unhealthy.
616,2023-01-26T16:12:30Z,Thanks bro
617,2023-01-26T15:48:45Z,Love from
618,2023-01-26T15:45:45Z,"kinda reminds me of my country, Philippines"
619,2023-01-26T15:41:46Z,Right
620,2023-01-26T15:25:55Z,@Karl Rock I don&#39;t know what made your change of heart about India.First I liked your videos about Holi then I hated when you abused India during your Pakistan.. then many years later now I&#39;m seeing this.. and many other good videos about India.Please share what changed your perception about India..
621,2023-01-26T14:47:04Z,U n your wyf r my fav. You both post beautiful contentlov u both. Stay blessed
622,2023-01-26T14:44:23Z,Habibi come to Kashmir
623,2023-01-26T14:28:47Z,"I love America, fresh clean air on tap."
624,2023-01-26T14:22:50Z,Yeah still India has a lot of pollution man
625,2023-01-26T14:20:23Z,"I don&#39;t blame the news for this, i blame the tourists.  They come, visits the most populared and polluted areas, leaves with bad memories."
626,2023-01-26T14:12:12Z,No one cares about blue skies. Just clouds of pollution
627,2023-01-26T14:09:22Z,Like bcz of my love chhattisgarh
628,2023-01-26T14:00:46Z,"We are not shown the mega-tonnes of plastic that litter the whole country. Everywhere, in cities or in the middle of nowhere..."
629,2023-01-26T13:59:56Z,Bruh it literally filled my eyes with tears when you said. &quot;News don&#39;t show this&quot;.
630,2023-01-26T13:41:16Z,Your accent becomes more and more Microsoft techsupportish
631,2023-01-26T13:39:27Z,Karl i had a mis conception abt u being not a friend of India. But your the opposite. Respect to you mate keep it up.
632,2023-01-26T13:34:45Z,And according to whatsapp university graduates those factors are like diwali fireworks and diwali fireworks and also only diwali fireworks.
633,2023-01-26T13:19:18Z,India smells like poop and trash all year round tho
634,2023-01-26T13:12:54Z,Ok lemme make it positiveMedia shows like this do that wr can work upon the dirty air and try to make our country 100% clean
635,2023-01-26T12:46:40Z,"BECAUSE IT&#39;S NOT NEWS WHEN IT&#39;S NORMAL, idjiot!Why do you love attacking the media for showing what they&#39;re supposed to show?The bad sides are shown in the hopes of stimulating action to address the problems.What do you want? Media like those in autocratic countries? Well I guess that&#39;s what you want being a Modi fanatic."
636,2023-01-26T12:39:24Z,India is destroying earth ?
637,2023-01-26T12:19:37Z,&quot;3 idiots&quot; showed me breathtaking India and been in my bucket list since.
638,2023-01-26T11:21:51Z,"Why would the news show us how pretty India is? It&#39;s the news, not a travel brochure."
639,2023-01-26T10:54:44Z,Because our media is Almost under our government control(godi media)
640,2023-01-26T10:46:32Z,India and China is going to be he death of the Earth.
641,2023-01-26T10:37:28Z,Ab sudhar Gaya Bhai.. air quality very bed even mid tier city...eating outside own risk .people income dramatically increase
642,2023-01-26T10:30:17Z,"idk but there is mixed air in india i see actually. some are luxurious, and others are like in the video"
643,2023-01-26T10:06:17Z,"Come to Bhubaneswar, capital city of Odisha... Ur eye will get shocked"
644,2023-01-26T09:39:22Z,Yeah except for the capital city of Delhi whenever I reach there the first thing I notice after getting off the plane is the air quality.
645,2023-01-26T09:24:17Z,Delhi air is always carrying that inherent haze tbh
646,2023-01-26T09:19:22Z,The news shows always only the bad side with everything
647,2023-01-26T09:11:18Z,"sorry to my Indian friends India is the most filthy country in the world including most of the people, i helped a friend who brought an apartment from an indian couple, it took 3 people a week to clean it"
648,2023-01-26T08:40:48Z,Love from chhattisgarh
649,2023-01-26T08:27:21Z,It&#39;s still not a clean country
650,2023-01-26T07:36:11Z,"Oh yea? Only 3 months of the year living in cancerous smog, sounds so much better"
651,2023-01-26T07:33:42Z,Thankyou for the brighter sight
652,2023-01-26T07:10:17Z,Why do they have a mob grinder
653,2023-01-26T07:06:02Z,"I never see any creator put chattisgarh in their video, I get really excited whenever I see someone promote Chattisgarh. Even though it&#39;s not as developed as some major states (but one of the fastest developing states), Chattisgarh has it&#39;s people, who are hospitable and generous, Has Nature surrounding everywhere (3rd largest forest coverage in India), Great for people who love to travel Natural habitat (Visit Mainpat once), Also has abundant natural resources."
654,2023-01-26T06:59:22Z,Jealousy brings biasness
655,2023-01-26T06:54:36Z,Thanks for showing Other people who don&#39;t  know
656,2023-01-26T06:43:29Z,"Lol.. how can u miss jharkhand , natural beauty every where"
657,2023-01-26T06:19:14Z,The last photo touch the heart
658,2023-01-26T05:45:45Z,"People not  from America assume that we&#39;re all potential murderers, well armed"
659,2023-01-26T05:31:55Z,just because you cant see it doesn’t mean the air isn’t toxic.
660,2023-01-26T05:29:59Z,What the left thinks the earth is going to look like in 5 years:
661,2023-01-26T05:22:52Z,As an Indian I felt glad to see the reality which you brought to your audience... thanks carl
662,2023-01-26T05:18:49Z,Who told you this misconception bruh
663,2023-01-26T05:16:27Z,Karl rock really rocks in india
664,2023-01-26T04:37:35Z,India always smells like that all year round though
665,2023-01-26T04:31:05Z,"I have been to South Goa, India, it&#39;s very beautiful with great beaches and warm sunlight. The restaurants are great and the people are really nice too, would recommend going!"
666,2023-01-26T04:19:13Z,"Just came back from India.Pune, Dheli and Mumbai is polluted all year road, the air remains very poor and below WHO standards.Smog is perennial but pollution is constant.The pungent toxic smell in most large cities does by cease any part of the year"
667,2023-01-26T04:01:22Z,"The horizon looks fucked, are you going to tell us China isn&#39;t polluted to high heaven too?"
668,2023-01-26T03:59:59Z,Naw it do tho
669,2023-01-26T03:55:21Z,consuming some amount of poison each year and sneezing that sheet in usa
670,2023-01-26T03:41:44Z,Misconception? I&#39;ve never heard that India has an air pollution problem!
671,2023-01-26T03:24:28Z,That&#39;s very true
672,2023-01-26T03:03:22Z,Every coin has two sides
673,2023-01-26T02:58:18Z,The last pic is my home
674,2023-01-26T02:56:00Z,Netherlands never looks like that.
675,2023-01-26T02:48:53Z,I would not go live in India if you gave me 50 millions.
676,2023-01-26T02:44:03Z,My friend told me the air smells like fart all year round.
677,2023-01-26T01:52:58Z,But in reality that&#39;s Los Angeles
678,2023-01-26T01:06:06Z,"I went to Delhi a couple years back. It&#39;s exactly like what you see in the movies as soon as you get out of the hotels districts. Go to Thailand instead, it&#39;s like what you think India will be like, but actually is."
679,2023-01-26T00:43:11Z,It&#39;s a serious issue tho
680,2023-01-26T00:03:55Z,There’s a misconception that Biden is good and doesn’t deal with terrorists but the news doesn’t show you that do they?
681,2023-01-25T23:56:27Z,Reminds me of Tehran lol.
682,2023-01-25T23:37:53Z,The news doesnt show any side because ain&#39;t shit happen in india that anyone but indians care about
683,2023-01-25T23:24:07Z,you know what else your ass should show how like half of indias population likes off under 7 dollars a day
684,2023-01-25T22:18:31Z,Well do me a favor and smell the air
