serial_number,website_name,url,title,date,content
615,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/air-purifier-sales-surge-rising-pollution-levels-delhi-air-quality-smog-2458429-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Air purifier sales surge in Delhi as pollution level dips to 'severe',"UPDATED: Nov 5, 2023 20:19 IST",Listen to Story
616,INDIA TODAY,https://www.indiatoday.in/cities/delhi/video/toxic-haze-shrouds-delhi-bjp-slams-aap-government-for-air-pollution-2458424-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Toxic haze shrouds Delhi, BJP slams AAP government for air pollution",,"A thick layer of haze engulfed the national capital on Sunday morning as the minimum temperature was recorded at 15.8 degree Celsius, one notch above the season's normal.
Read More"
617,INDIA TODAY,https://www.indiatoday.in/india/story/maharashtra-pollution-control-board-companies-closure-notice-jsw-cement-ceat-tyres-notices-air-quality-2458315-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Maharashtra pollution regulator cracks whip on companies flouting clean air norms,"UPDATED: Nov 5, 2023 13:08 IST",Listen to Story
618,INDIA TODAY,https://www.indiatoday.in/india/video/delhi-worsening-air-pollution-sparks-blame-game-between-aap-bjp-2458323-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi's worsening air pollution sparks blame game between AAP, BJP",,"The Aam Aadmi Party (AAP) and Bharatiya Janata Party (BJP) sparred over the rising air pollution in Delhi, with the former accusing the Haryana and Uttar Pradesh governments of not taking steps to address the issue. The BJP alleged Arvind Kejriwal was busy in ""political tourism"" amid the crisis in the national capital.
Read More"
619,INDIA TODAY,https://www.indiatoday.in/india/story/delhi-primary-schools-to-remain-shut-till-november-10-as-air-quality-severe-atishi-2458262-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi primary schools shut until November 10 amid 'severe' air quality,"UPDATED: Nov 5, 2023 12:31 IST",Listen to Story
620,INDIA TODAY,https://www.indiatoday.in/cities/video/delhi-ncr-covered-with-toxic-haze-air-quality-deteriorates-further-2458310-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi-NCR covered with toxic haze, air quality deteriorates further",,"Delhi-National Capital Region (NCR) has been covered in toxic haze and is battling 'severe' air pollution over the past few days. Delhi's air quality remained in the 'severe' category for the third consecutive day on Sunday as smoke encompassed the national capital. The overall air quality index (AQI) of the city was recorded at 460 at 7 am.
Read More"
621,INDIA TODAY,https://www.indiatoday.in/education-today/news/story/delhi-primary-schools-to-remain-shut-till-november-10-due-to-rising-pollution-2458293-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi primary schools to remain shut till November 10 due to rising pollution,"UPDATED: Nov 5, 2023 11:33 IST",Listen to Story
622,INDIA TODAY,https://www.indiatoday.in/trending-news/story/shashi-tharoor-takes-a-dig-at-air-pollution-renames-delhi-spots-in-satirical-post-2458261-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Shashi Tharoor takes a dig at air pollution, renames Delhi spots in satirical post","UPDATED: Nov 5, 2023 10:09 IST",Listen to Story
623,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhis-air-quality-continues-to-be-severe-for-third-straight-day-city-covered-in-smog-2458217-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi's air quality continues to be severe for 3rd straight day, city covered in smog","UPDATED: Nov 5, 2023 07:58 IST",Listen to Story
624,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-municipal-corporation-intensifies-pollution-control-measures-lakhs-in-fines-2458209-2023-11-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi civic body intensifies pollution control measures, collects lakhs in fines","UPDATED: Nov 5, 2023 04:01 IST",Listen to Story
625,INDIA TODAY,https://www.indiatoday.in/india/story/punjab-farmers-defy-farm-fire-prevention-team-force-official-to-burn-stubble-2458154-2023-11-04?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Punjab officer tries to stop farm fire, farmers make him burn stubble","UPDATED: Nov 4, 2023 22:09 IST",Listen to Story
626,INDIA TODAY,https://www.indiatoday.in/opinion/story/delhi-air-quality-pollution-smog-solutions-challenges-2458039-2023-11-04?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Opinion | Delhi-NCR air emergency: Challenges and the way forward,"UPDATED: Nov 4, 2023 15:56 IST",Listen to Story
627,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-winter-pollution-level-aqi-vehicle-restriction-gopal-rai-centre-cng-diesel-car-2458029-2023-11-04?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"'Allow only CNG, electric and BS-VI vehicles in Delhi': Minister urges Centre","UPDATED: Nov 4, 2023 14:50 IST",Listen to Story
628,INDIA TODAY,https://www.indiatoday.in/india/video/farm-fire-rages-across-punjab-as-delhi-ncr-air-quality-turns-severe-2457992-2023-11-04?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Farm fire rages across Punjab as Delhi-NCR air quality turns 'severe',,"The air quality of Delhi worsened and reached ‘severe plus’ category on Friday. Delhi’s average air quality index (AQI) was reported at 468. As the national capital struggles to breathe, all the emergency measures are mandated in Delhi-NCR now. Many parts of Delhi-NCR have breached the 500-mark on the AQI scale, entering the ‘hazardous’ category.
Read More"
629,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-pollution-air-quality-severe-aap-bjp-war-of-words-political-blame-game-stubble-burning-2457950-2023-11-04?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi's worsening air pollution sparks blame game between AAP, BJP","UPDATED: Nov 4, 2023 12:11 IST",Listen to Story
630,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-air-pollution-air-quality-level-severe-delhi-aqi-today-smog-pollution-control-measures-2457887-2023-11-04?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi's air quality 'severe', over 500 teams formed to combat pollution","UPDATED: Nov 4, 2023 07:40 IST",Listen to Story
631,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-civic-body-takes-up-intense-measures-as-air-quality-becomes-hazardous-2457884-2023-11-04?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi civic body takes up intense measures as air quality becomes hazardous,"UPDATED: Nov 4, 2023 06:11 IST",Listen to Story
632,INDIA TODAY,https://www.indiatoday.in/cities/noida/story/greater-noida-air-quality-drops-to-hazardous-level-bjp-mla-urges-residents-to-stay-indoors-2457867-2023-11-04?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Greater Noida's air quality is 'hazardous', residents urged to stay indoors","UPDATED: Nov 4, 2023 02:28 IST",Listen to Story
633,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/no-respite-from-bad-air-for-delhi-for-another-week-met-office-2457861-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,No respite from bad air for Delhi for another week: Sources,"UPDATED: Nov 3, 2023 23:28 IST",Listen to Story
634,INDIA TODAY,https://www.indiatoday.in/programme/newstrack-with-rahul-kanwal/video/smog-envelopes-national-capital-who-will-give-delhi-the-right-to-breathe-2457836-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Smog envelopes national capital: Who will give Delhi the right to breathe?,,
635,INDIA TODAY,https://www.indiatoday.in/cities/story/delhi-air-pollution-lg-vk-saxena-meet-arvind-kejriwal-2457682-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"What Delhi Lt Governor, AAP government decided during air pollution meet","UPDATED: Nov 3, 2023 21:07 IST",Listen to Story
636,INDIA TODAY,https://www.indiatoday.in/visualstories/wellness/what-is-trending-74064-03-11-2023?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Air pollution: 5 healthy drinks for lungs,,
637,INDIA TODAY,https://www.indiatoday.in/education-today/news/story/delhi-air-pollution-school-holidays-decision-after-aqi-monitoring-over-weekend-2457727-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi air pollution: School holidays decision after AQI monitoring over weekend,"UPDATED: Nov 3, 2023 17:37 IST",Listen to Story
638,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-air-pollution-air-quality-levels-severe-smog-tower-non-operational-locked-gates-2457594-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Rs 23-crore smog tower in Delhi stays locked as capital struggles to breathe,"UPDATED: Nov 3, 2023 17:07 IST",Listen to Story
639,INDIA TODAY,https://www.indiatoday.in/health/story/delhi-air-pollution-how-to-protect-your-eyes-from-heavy-smog-2457649-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi air pollution: How to protect your eyes from heavy smog,"UPDATED: Nov 3, 2023 17:06 IST",Listen to Story
640,INDIA TODAY,https://www.indiatoday.in/law/story/you-want-people-to-live-in-gas-chambers-delhi-high-court-raps-forest-panel-delhi-air-pollution-2457669-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,'You want people to live in gas chambers?' Delhi High Court raps forest panel,"UPDATED: Nov 3, 2023 16:58 IST",Listen to Story
641,INDIA TODAY,https://www.indiatoday.in/trending-news/story/delhi-air-pollution-sparks-meme-fest-online-see-here-2457690-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi air pollution sparks meme fest online. See here,"UPDATED: Nov 3, 2023 16:49 IST",Listen to Story
642,INDIA TODAY,https://www.indiatoday.in/health/story/delhi-air-pollution-mask-up-say-doctors-amid-fear-of-rising-lung-diseases-2457622-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi Air Pollution: Mask up, say doctors amid fear of rising lung diseases","UPDATED: Nov 3, 2023 16:36 IST",Listen to Story
643,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-congress-leaders-wear-oxygen-masks-to-press-meet-blame-aap-bjp-for-poor-air-2457647-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi Congress leaders wear oxygen masks, blame AAP, BJP for poor air","UPDATED: Nov 3, 2023 16:32 IST",Listen to Story
644,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/in-pics-delhi-dire-air-quality-as-thick-brown-haze-hangs-over-city-2457631-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,In 5 pics: Delhi's dire air quality as thick brown haze hangs over city,"UPDATED: Nov 3, 2023 15:47 IST",Listen to Story
645,INDIA TODAY,https://www.indiatoday.in/india/story/delhi-air-pollution-severe-aap-gopal-rai-slams-centre-where-is-union-environment-minister-2457463-2023-11-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,'Where is Union Minister?': AAP slams Centre as Delhi breathes toxic air,"UPDATED: Nov 3, 2023 13:56 IST",Listen to Story
